1) 0.0	: 19.64969602801709
2) 0.46518005949241575	: 16.18723403566167
3) 0.9303601189848315	: 12.531124631583026
4) 1.3955401784772472	: 14.46229759994757
5) 1.860720237969663	: 15.14886722937653
6) 2.325900297462079	: 15.000070470150316
7) 2.7910803569544944	: 14.51086323722042
8) 3.2562604164469104	: 14.529235472755241
9) 3.721440475939326	: 15.967017616490509
10) 4.186620535431742	: 15.151454174969881
11) 4.651800594924158	: 15.677826434525212
12) 5.116980654416573	: 15.332284571292945
13) 5.582160713908989	: 14.19288444321639
14) 6.047340773401404	: 14.713113188025773
15) 6.512520832893821	: 15.327881466113933
16) 6.9777008923862365	: 15.547001047619114
17) 7.442880951878652	: 12.948303135913852
18) 7.908061011371068	: 12.952177293397364
19) 8.373241070863484	: 12.92163802387962
20) 8.838421130355899	: 15.410493514220468
21) 9.303601189848315	: 15.759740689621362
22) 9.76878124934073	: 14.25552717491043
23) 10.233961308833146	: 15.495651928049819
24) 10.699141368325563	: 15.739905520863877
25) 11.164321427817978	: 15.340108287399653
26) 11.629501487310394	: 13.85450286567974
27) 12.094681546802809	: 16.23359703763964
28) 12.559861606295225	: 16.566921575580952
29) 13.025041665787642	: 14.775734224929533
30) 13.490221725280056	: 14.062920481364952
31) 13.955401784772473	: 14.07777912705053
32) 14.420581844264888	: 17.336827688393573
33) 14.885761903757304	: 16.157557615341606
34) 15.35094196324972	: 16.345145205221336
35) 15.816122022742135	: 15.532425021907224
36) 16.28130208223455	: 15.167319048049155
37) 16.74648214172697	: 13.912881668936171
38) 17.211662201219383	: 16.296697474918385
39) 17.676842260711798	: 15.123424481897917
40) 18.142022320204216	: 17.2197888230553
41) 18.60720237969663	: 14.5387046662317
42) 19.072382439189045	: 15.611660937228047
43) 19.53756249868146	: 16.102639235387834
44) 20.00274255817388	: 16.411440047991846
45) 20.467922617666293	: 15.441290795508198
46) 20.933102677158708	: 16.61614088581589
47) 21.398282736651126	: 17.10534919333067
48) 21.86346279614354	: 16.47798021335074
49) 22.328642855635955	: 14.683070908929292
50) 22.793822915128374	: 16.642199897722662
51) 23.25900297462079	: 16.691825882452118
52) 23.724183034113203	: 13.888159512023782
53) 24.189363093605618	: 16.542171656441866
54) 24.654543153098036	: 16.125912329535364
55) 25.11972321259045	: 16.359028775846074
56) 25.584903272082865	: 17.67844670101016
57) 26.050083331575284	: 16.750887387928792
58) 26.5152633910677	: 16.55738370981315
59) 26.980443450560113	: 16.769240666127097
60) 27.44562351005253	: 16.937981002928282
61) 27.910803569544946	: 16.79222061196031
62) 28.37598362903736	: 16.119433657877448
63) 28.841163688529775	: 16.477039694424008
64) 29.306343748022194	: 15.235534380960107
65) 29.77152380751461	: 15.256913066691123
66) 30.236703867007023	: 16.644522125586597
67) 30.70188392649944	: 18.302834358770255
68) 31.167063985991856	: 15.77463649391703
69) 31.63224404548427	: 17.753117298356777
70) 32.09742410497669	: 17.616004315684876
71) 32.5626041644691	: 16.67890032358765
72) 33.02778422396152	: 17.14225342521487
73) 33.49296428345394	: 16.107532140111797
74) 33.95814434294635	: 14.694230967437283
75) 34.423324402438766	: 17.205454580538714
76) 34.888504461931184	: 17.237585452848194
77) 35.353684521423595	: 16.02327840820003
78) 35.81886458091601	: 17.25600992154672
79) 36.28404464040843	: 16.222875320935497
80) 36.74922469990084	: 16.92593270766993
81) 37.21440475939326	: 16.347545276065457
82) 37.67958481888568	: 16.874740479820392
83) 38.14476487837809	: 16.389440795290447
84) 38.60994493787051	: 13.261436120813261
85) 39.07512499736292	: 14.967695354324684
86) 39.54030505685534	: 17.133467426260072
87) 40.00548511634776	: 15.141233464095356
88) 40.47066517584017	: 16.535326772607316
89) 40.935845235332586	: 16.586024552153205
90) 41.401025294825004	: 17.383880320903636
91) 41.866205354317415	: 15.092939211697185
92) 42.33138541380983	: 17.16870756151593
93) 42.79656547330225	: 14.80572049450625
94) 43.26174553279466	: 17.423302694731195
95) 43.72692559228708	: 16.90114996579885
96) 44.1921056517795	: 14.639911685274914
97) 44.65728571127191	: 16.84208222158352
98) 45.12246577076433	: 17.65791246723556
99) 45.58764583025675	: 15.40063855979441
100) 46.05282588974916	: 16.94593148288434
101) 46.51800594924158	: 16.546844458191877
102) 46.98318600873399	: 17.699188632663642
103) 47.448366068226406	: 15.513214209421232
104) 47.913546127718824	: 16.809981106365804
105) 48.378726187211235	: 17.039478359051266
106) 48.84390624670365	: 18.93130916192861
107) 49.30908630619607	: 15.595052656210527
108) 49.77426636568848	: 16.070500009290363
109) 50.2394464251809	: 16.451006216310603
110) 50.70462648467332	: 12.735569905303022
111) 51.16980654416573	: 15.389599147857624
112) 51.63498660365815	: 16.673259911892483
113) 52.10016666315057	: 16.816561701364357
114) 52.56534672264298	: 17.111480872235717
115) 53.0305267821354	: 14.565623453799128
116) 53.495706841627815	: 16.65837886055348
117) 53.960886901120226	: 15.78934322469593
118) 54.426066960612644	: 15.037466968281853
119) 54.89124702010506	: 15.470671950889315
120) 55.35642707959747	: 16.625961080868944
121) 55.82160713908989	: 14.330445542195852
122) 56.2867871985823	: 15.191991520365514
123) 56.75196725807472	: 16.214216920993803
124) 57.21714731756714	: 15.265811183381029
125) 57.68232737705955	: 16.518730824402528
126) 58.14750743655197	: 16.757649989835315
127) 58.61268749604439	: 15.940359651468686
128) 59.0778675555368	: 16.55067032016152
129) 59.54304761502922	: 16.59589482961246
130) 60.008227674521635	: 16.796054199964804
131) 60.473407734014046	: 16.521197735488666
132) 60.938587793506464	: 14.992034356910775
133) 61.40376785299888	: 14.821173413612389
134) 61.86894791249129	: 16.50719030330091
135) 62.33412797198371	: 15.733961564304895
136) 62.79930803147613	: 16.465168717353475
137) 63.26448809096854	: 14.559401308420828
138) 63.72966815046096	: 16.526136677663036
139) 64.19484820995338	: 15.396208781260947
140) 64.66002826944579	: 17.268428451276556
141) 65.1252083289382	: 13.961765662711233
142) 65.59038838843063	: 16.265346141928685
143) 66.05556844792304	: 16.914243907240067
144) 66.52074850741545	: 15.723241780292852
145) 66.98592856690787	: 16.281310708070894
146) 67.45110862640028	: 14.445873823346588
147) 67.9162886858927	: 17.162707430680413
148) 68.38146874538512	: 15.384314338868624
149) 68.84664880487753	: 15.153476965953843
150) 69.31182886436994	: 16.330381341113647
151) 69.77700892386237	: 12.083199265287735
152) 70.24218898335478	: 13.791114320088672
153) 70.70736904284719	: 15.664766587659582
154) 71.17254910233962	: 15.855486680076481
155) 71.63772916183203	: 17.11552892042892
