Frequency	Magnitude
193.798828125	-21.9322993679
215.33203125	-23.015200869
236.865234375	-24.6911328395
258.3984375	-26.8447812034
279.931640625	-29.2067448016
301.46484375	-31.3643416547
322.998046875	-33.1374496959
344.53125	-34.9499870833
366.064453125	-37.6380187349
387.59765625	-42.5685259954
409.130859375	-48.3806921783
430.6640625	-40.7160410636
452.197265625	-35.8850640202
473.73046875	-33.2700499506
495.263671875	-32.0148644144
581.396484375	-36.2518843058
602.9296875	-36.9301762834
645.99609375	-35.1925928971
775.1953125	-34.3290596198
839.794921875	-31.7482007945
904.39453125	-32.1164419568
947.4609375	-34.2684336241
990.52734375	-37.7541563826
1012.06054688	-39.9887644157
1119.7265625	-40.3183086476
1227.39257813	-48.7712742973
3229.98046875	-51.8604717231
3251.51367188	-50.3807944067
3273.046875	-48.4437530183
3294.58007813	-46.3145280154
3316.11328125	-44.5888727801
3337.64648438	-43.5898180633
3359.1796875	-43.4175211735
3402.24609375	-45.5831105234
3423.77929688	-47.7809928871
3445.3125	-50.2135768892
3466.84570313	-51.7262207077
3488.37890625	-51.5379600731
3509.91210938	-50.4576207838
3531.4453125	-49.3162223388
3552.97851563	-48.402629847
3574.51171875	-47.7906735845
3596.04492188	-47.4805827704
3962.109375	-42.5925852501
3983.64257813	-43.2347561849
4005.17578125	-44.3479187993
4026.70898438	-45.7118656668
4048.2421875	-47.1651351557
4069.77539063	-48.8572202212
4091.30859375	-51.311520475
4112.84179688	-55.3732934438
4134.375	-61.404342867
4155.90820313	-59.405580685
4177.44140625	-55.0079058226
4198.97460938	-52.7037453425
4220.5078125	-51.5486914358
4263.57421875	-50.5114869026
4306.640625	-49.8980343164
4328.17382813	-49.8915915468
4349.70703125	-50.0850862936
5921.63085938	-69.9705252473
5943.1640625	-72.743242951
5964.69726563	-74.7081552654
5986.23046875	-70.7508822898
6029.296875	-65.1876295458
6050.83007813	-64.459260276
6072.36328125	-64.5516273057
6115.4296875	-65.6231401376
6158.49609375	-65.072649858
6180.02929688	-63.6534248944
6201.5625	-61.8223492985
6223.09570313	-59.9861373867
6244.62890625	-58.4553730427
6266.16210938	-57.4531377928
7967.28515625	-69.8756998507
7988.81835938	-69.605171835
8010.3515625	-70.191908698
8031.88476563	-72.6305707309
8096.484375	-73.6224262022
8118.01757813	-69.65810544
8139.55078125	-67.6893380968
8182.6171875	-66.2816689462
8204.15039063	-66.5498909613
8247.21679688	-70.8148740566
8268.75	-77.3974577457
8333.34960938	-69.4636532882
8376.41601563	-68.1902978947
8397.94921875	-67.9461417161
8419.48242188	-67.3948238532
8462.54882813	-68.0863730597
8484.08203125	-70.6392179919
8527.1484375	-91.2728736937
8548.68164063	-83.7018109307
8570.21484375	-79.7274398395
8613.28125	-77.4581238106
8677.88085938	-72.4486833726
8699.4140625	-72.8999592255
8720.94726563	-73.1440254164
8742.48046875	-72.3974538706
8785.546875	-71.2260584637
8828.61328125	-74.3274373614
8871.6796875	-80.0076513696
8893.21289063	-79.4870179357
8936.27929688	-72.8368151991
9000.87890625	-68.7846028396
9043.9453125	-67.5633630452
9065.47851563	-66.5307461581
9087.01171875	-65.967279339
9130.078125	-67.3358212013
9173.14453125	-71.6616388315
9216.2109375	-75.6799000109
9302.34375	-81.4314488037
9388.4765625	-78.5571392747
9453.07617188	-84.7516166561
9496.14257813	-76.5351572819
9582.27539063	-71.2153861148
9668.40820313	-68.0379987594
9711.47460938	-69.1965883341
9797.60742188	-71.2436250207
9840.67382813	-70.2038342493
